FBpp,Symbol,FBgn
FBpp0070006,CG9577,FBgn0031092
FBpp0073988,Mfe2,FBgn0030731
FBpp0070007,CG9578,FBgn0031094
FBpp0080045,Tap42,FBgn0051852
FBpp0079148,mts,FBgn0004177
FBpp0083880,CG31142,FBgn0047114
FBpp0304176,CG10289,FBgn0035688
FBpp0070037,alpha-Cat,FBgn0010215
FBpp0074229,par-6,FBgn0026192
FBpp0110418,cta,FBgn0000384
FBpp0085320,Src42A,FBgn0264959
FBpp0070044,CG33217,FBgn0053217
FBpp0305840,Art4,FBgn0037770
FBpp0071102,CG1575,FBgn0029999
FBpp0075969,CG32075,FBgn0052075
FBpp0070045,CG32350,FBgn0052350
FBpp0084210,Vps33B,FBgn0039335
FBpp0077473,Rab5,FBgn0014010
FBpp0084899,Vps16B,FBgn0039702
FBpp0087203,Syx6,FBgn0037084
FBpp0081548,Vps45,FBgn0261049
FBpp0073036,Ccz1,FBgn0035470
FBpp0083891,Rab7,FBgn0015795
FBpp0074496,car,FBgn0000257
FBpp0077079,Mon1,FBgn0031640
FBpp0302752,Rop,FBgn0004574
FBpp0080747,Rab9,FBgn0032782
FBpp0073149,Syx17,FBgn0035540
FBpp0072503,Vti1,FBgn0260862
FBpp0070051,CG32857,FBgn0052857
FBpp0081412,CG9836,FBgn0037637
FBpp0070057,CG14476,FBgn0027588
FBpp0083050,CG7685,FBgn0038619
FBpp0080551,CG6453,FBgn0032643
FBpp0070063,cin,FBgn0000316
FBpp0076998,mal,FBgn0002641
FBpp0084157,Mocs2,FBgn0039280
FBpp0074426,CG7280,FBgn0030966
FBpp0075935,Mocs1,FBgn0263241
FBpp0070068,CG12470,FBgn0040371
FBpp0086253,CG5089,FBgn0034144
FBpp0077928,Mst77F,FBgn0086915
FBpp0083995,CG33340,FBgn0053340
FBpp0076874,CG4669,FBgn0035598
FBpp0071435,CG9806,FBgn0030222
FBpp0073301,CG15200,FBgn0030278
FBpp0088673,CG18449,FBgn0033285
FBpp0071021,CG15035,FBgn0029949
FBpp0289986,CG12699,FBgn0046294
FBpp0083866,CG10252,FBgn0039104
FBpp0073239,CG15208,FBgn0030247
FBpp0082638,CG4546,FBgn0038373
FBpp0070069,Or1a,FBgn0029521
FBpp0078441,Or83a,FBgn0037322
FBpp0070070,y,FBgn0004034
FBpp0083463,mod(mdg4),FBgn0002781
FBpp0082404,su(Hw),FBgn0003567
FBpp0070071,ac,FBgn0000022
FBpp0304504,da,FBgn0267821
FBpp0075596,sens,FBgn0002573
FBpp0081318,ato,FBgn0010433
FBpp0072477,emc,FBgn0000575
FBpp0070072,sc,FBgn0004170
FBpp0084355,E(spl)mbeta-HLH,FBgn0002733
FBpp0073317,sisA,FBgn0003411
FBpp0084334,E(spl)m7-HLH,FBgn0002633
FBpp0303693,Sxl,FBgn0264270
FBpp0070073,l(1)sc,FBgn0002561
FBpp0070074,ase,FBgn0000137
FBpp0072647,CG12011,FBgn0035257
FBpp0087879,dpn,FBgn0010109
FBpp0070083,arg,FBgn0023535
FBpp0087940,Odc2,FBgn0013308
FBpp0074729,Oat,FBgn0022774
FBpp0081556,SpdS,FBgn0037723
FBpp0076250,CG5144,FBgn0035957
FBpp0289058,CG9510,FBgn0032076
FBpp0076270,Argk,FBgn0000116
FBpp0081197,CG1315,FBgn0026565
FBpp0076903,slgA,FBgn0003423
FBpp0083744,CG17109,FBgn0039051
FBpp0070087,CG17896,FBgn0023537
FBpp0071533,Acox57D-d,FBgn0034629
FBpp0072560,CG9149,FBgn0035203
FBpp0071095,CG10932,FBgn0029969
FBpp0300161,CG31075,FBgn0051075
FBpp0074843,CG3902,FBgn0036824
FBpp0085821,CG15093,FBgn0034390
FBpp0070963,CG4586,FBgn0029924
FBpp0088517,CG5009,FBgn0027572
FBpp0082547,CG5044,FBgn0038326
FBpp0112101,CG11241,FBgn0037186
FBpp0079472,yip2,FBgn0040064
FBpp0291259,CG7433,FBgn0036927
FBpp0292905,CG4747,FBgn0043456
FBpp0071759,T3dh,FBgn0017482
FBpp0073781,CG5599,FBgn0030612
FBpp0078067,AcCoAS,FBgn0012034
FBpp0083990,CG6432,FBgn0039184
FBpp0083227,Arc42,FBgn0038742
FBpp0074784,CG9629,FBgn0036857
FBpp0072135,Thiolase,FBgn0025352
FBpp0080759,CG17544,FBgn0032775
FBpp0113095,CG9527,FBgn0031813
FBpp0070093,ebo,FBgn0266572
FBpp0073328,Ran,FBgn0020255
FBpp0070105,vnd,FBgn0261930
FBpp0089115,gro,FBgn0001139
FBpp0289487,fkh,FBgn0000659
FBpp0070110,CG13369,FBgn0025640
FBpp0072385,NitFhit,FBgn0024945
FBpp0296955,Rpi,FBgn0050410
FBpp0087038,CG8525,FBgn0033735
FBpp0075247,Pgm,FBgn0003076
FBpp0087711,Pmm45A,FBgn0033377
FBpp0074898,CG5103,FBgn0036784
FBpp0070114,l(1)1Bi,FBgn0001341
FBpp0077694,dbe,FBgn0020305
FBpp0087511,RpLP0-like,FBgn0033485
FBpp0070116,CG13367,FBgn0025634
FBpp0070864,CG3815,FBgn0029861
FBpp0306049,MRG15,FBgn0027378
FBpp0070134,tw,FBgn0086368
FBpp0086267,CG8311,FBgn0034141
FBpp0070141,Rbf,FBgn0015799
FBpp0086853,Dp,FBgn0011763
FBpp0075807,CycA,FBgn0000404
FBpp0086249,Cdk4,FBgn0016131
FBpp0082511,Caf1,FBgn0263979
FBpp0080013,Pk34A,FBgn0028410
FBpp0289620,CycD,FBgn0010315
FBpp0081029,E2f2,FBgn0024371
FBpp0085744,mip40,FBgn0034430
FBpp0070805,lin-52,FBgn0029800
FBpp0087553,dap,FBgn0010316
FBpp0297239,Pp2A-29B,FBgn0260439
FBpp0081665,tws,FBgn0004889
FBpp0070143,RpL22,FBgn0015288
FBpp0305858,RpL26,FBgn0036825
FBpp0084617,RpL4,FBgn0003279
FBpp0070766,RpL35,FBgn0029785
FBpp0084966,RpS28a,FBgn0039739
FBpp0305182,EF2,FBgn0000559
FBpp0072687,RpL23A,FBgn0026372
FBpp0084959,RpL32,FBgn0002626
FBpp0110412,RpL38,FBgn0040007
FBpp0080102,RpL24,FBgn0032518
FBpp0086701,RpS23,FBgn0033912
FBpp0303728,RpL21,FBgn0032987
FBpp0303680,Rack1,FBgn0020618
FBpp0085585,RpS18,FBgn0010411
FBpp0076207,RpS17,FBgn0005533
FBpp0303780,RpL27,FBgn0039359
FBpp0070940,RpL17,FBgn0029897
FBpp0078354,RpL13A,FBgn0037351
FBpp0079500,RpS2,FBgn0004867
FBpp0075618,RpS4,FBgn0011284
FBpp0087608,RpL31,FBgn0285949
FBpp0072801,RpL8,FBgn0261602
FBpp0072094,RpL39,FBgn0023170
FBpp0083376,RpS30,FBgn0038834
FBpp0071052,RpS14b,FBgn0004404
FBpp0070150,RpL36,FBgn0002579
FBpp0083802,RpS3,FBgn0002622
FBpp0083905,RpS19b,FBgn0039129
FBpp0084150,vig2,FBgn0046214
FBpp0291726,RpL37A,FBgn0261608
FBpp0081879,RpL24-like,FBgn0037899
FBpp0099610,RpL41,FBgn0066084
FBpp0304265,RpLP1,FBgn0002593
FBpp0077142,RpL27A,FBgn0285948
FBpp0083371,RpS20,FBgn0019936
FBpp0079484,RpL13,FBgn0011272
FBpp0076359,RpL14,FBgn0017579
FBpp0085166,RpL6,FBgn0039857
FBpp0072957,RpL28,FBgn0035422
FBpp0080641,RpS26,FBgn0261597
FBpp0084242,RpS27,FBgn0039300
FBpp0076152,RpS9,FBgn0010408
FBpp0085717,RpL11,FBgn0013325
FBpp0074500,RpS10b,FBgn0285947
FBpp0079752,RpL9,FBgn0015756
FBpp0089424,RpLP2,FBgn0003274
FBpp0077159,RpL40,FBgn0003941
FBpp0071846,RpS24,FBgn0261596
FBpp0088441,RpS7,FBgn0039757
FBpp0074180,RpS5a,FBgn0002590
FBpp0306232,RpLP0,FBgn0000100
FBpp0291653,RpL30,FBgn0086710
FBpp0078416,RpL35A,FBgn0037328
FBpp0300615,RpS3A,FBgn0017545
FBpp0306039,RpL10,FBgn0024733
FBpp0087115,RpS11,FBgn0033699
FBpp0079328,RpS13,FBgn0010265
FBpp0305165,Ef1beta,FBgn0028737
FBpp0070877,RpL7A,FBgn0014026
FBpp0077309,RpS21,FBgn0015521
FBpp0076602,RpL18,FBgn0035753
FBpp0081822,RpL3,FBgn0020910
FBpp0071087,RpS6,FBgn0261592
FBpp0073623,RpS15Aa,FBgn0010198
FBpp0304879,RpL5,FBgn0064225
FBpp0291581,CG17490,FBgn0040009
FBpp0081614,RpS29,FBgn0261599
FBpp0071766,RpS16,FBgn0034743
FBpp0082483,RpL10Aa,FBgn0038281
FBpp0070279,Sta,FBgn0003517
FBpp0071808,RpL23,FBgn0010078
FBpp0079880,RpL7-like,FBgn0032404
FBpp0072083,RpL12,FBgn0034968
FBpp0079536,RpL7,FBgn0005593
FBpp0075612,RpS12,FBgn0286213
FBpp0084345,RpL34a,FBgn0039406
FBpp0099686,RpS8,FBgn0039713
FBpp0086269,RpS15,FBgn0034138
FBpp0071518,RpL29,FBgn0016726
FBpp0300652,RpL15,FBgn0028697
FBpp0079168,RpL36A,FBgn0031980
FBpp0086103,RpL18A,FBgn0010409
FBpp0081845,RpS25,FBgn0086472
FBpp0072312,RpL19,FBgn0285950
FBpp0071958,RpL22-like,FBgn0034837
FBpp0071771,bonsai,FBgn0026261
FBpp0304503,mRpS7,FBgn0032236
FBpp0078694,mRpL24,FBgn0031651
FBpp0072144,eIF6,FBgn0034915
FBpp0085119,CG1542,FBgn0039828
FBpp0071888,RpL37b,FBgn0034822
FBpp0070409,Nmd3,FBgn0023542
FBpp0086498,CG11808,FBgn0034000
FBpp0081820,Tctp,FBgn0037874
FBpp0070154,CG13364,FBgn0026879
FBpp0074151,SmG,FBgn0261791
FBpp0290701,CG7048,FBgn0038976
FBpp0070155,CG13365,FBgn0029529
FBpp0071278,CG9034,FBgn0040931
FBpp0070160,MED22,FBgn0040339
FBpp0072457,MED30,FBgn0035149
FBpp0070295,MED18,FBgn0026873
FBpp0078496,MED31,FBgn0037262
FBpp0085609,MED8,FBgn0034503
FBpp0087251,ix,FBgn0001276
FBpp0076599,MED4,FBgn0035754
FBpp0079166,MED20,FBgn0013531
FBpp0078361,MED27,FBgn0037359
FBpp0305737,MED10,FBgn0036581
FBpp0082469,CycC,FBgn0004597
FBpp0081787,MED7,FBgn0051390
FBpp0112462,MED21,FBgn0040020
FBpp0082980,MED17,FBgn0038578
FBpp0074821,MED11,FBgn0036811
FBpp0084211,MED28,FBgn0039337
FBpp0083263,Surf6,FBgn0038746
FBpp0289888,MED9,FBgn0260401
FBpp0074926,MED19,FBgn0036761
FBpp0076098,Cdk8,FBgn0015618
FBpp0071684,MED16,FBgn0034707
FBpp0081639,MED6,FBgn0024330
FBpp0070162,TRAM,FBgn0040340
FBpp0078896,Sec61alpha,FBgn0086357
FBpp0077740,Spp,FBgn0031260
FBpp0079495,CG5885,FBgn0025700
FBpp0075209,SsRbeta,FBgn0011016
FBpp0070165,mus81,FBgn0040347
FBpp0290815,SMC5,FBgn0052438
FBpp0086223,Fen1,FBgn0025832
FBpp0086578,Ercc1,FBgn0028434
FBpp0087317,mms4,FBgn0033549
FBpp0077263,gkt,FBgn0260817
FBpp0080675,tos,FBgn0015553
FBpp0073678,Lig4,FBgn0030506
FBpp0070624,mei-9,FBgn0002707
FBpp0080441,grp,FBgn0261278
FBpp0073822,Top1,FBgn0004924
FBpp0078337,Snm1,FBgn0037338
FBpp0087867,Mlh1,FBgn0011659
FBpp0076879,Gen,FBgn0263831
FBpp0082392,spn-B,FBgn0003480
FBpp0290511,slx1,FBgn0037263
FBpp0081381,pch2,FBgn0051453
FBpp0070638,Xpac,FBgn0004832
FBpp0075458,RecQ5,FBgn0027375
FBpp0077357,okr,FBgn0002989
FBpp0084955,spn-A,FBgn0003479
FBpp0290742,Rad51C,FBgn0033389
FBpp0301208,spel1,FBgn0015546
FBpp0084486,spn-D,FBgn0003482
FBpp0085657,mei-W68,FBgn0002716
FBpp0292263,Pol32,FBgn0283467
FBpp0070891,Top3beta,FBgn0026015
FBpp0075441,Tdrd3,FBgn0036450
FBpp0080860,lok,FBgn0019686
FBpp0070168,CG3021,FBgn0040337
FBpp0084012,CG18528,FBgn0039189
FBpp0071745,CG4610,FBgn0034735
FBpp0070169,CG33082,FBgn0053082
FBpp0076478,CG8038,FBgn0035831
FBpp0075046,CG14057,FBgn0036696
FBpp0070748,l(1)G0045,FBgn0026702
FBpp0111428,CG34317,FBgn0085346
FBpp0077802,Rpp30,FBgn0283652
FBpp0099986,Rpp20,FBgn0066304
FBpp0085455,CG9422,FBgn0033092
FBpp0070175,CDC45L,FBgn0026143
FBpp0079648,RnrL,FBgn0011703
FBpp0084348,Sld5,FBgn0039403
FBpp0080391,fzy,FBgn0001086
FBpp0076371,Cdc6,FBgn0035918
FBpp0076789,DNApol-epsilon58,FBgn0035644
FBpp0074715,asf1,FBgn0029094
FBpp0077899,S(faf)240,FBgn0259676
FBpp0070729,Mcm3,FBgn0284442
FBpp0074888,mus304,FBgn0002901
FBpp0080120,Orc5,FBgn0015271
FBpp0111417,CG34308,FBgn0085337
FBpp0081756,Mcm5,FBgn0017577
FBpp0070913,Mcm6,FBgn0025815
FBpp0076312,Mcm7,FBgn0020633
FBpp0071994,l(2)dtl,FBgn0013548
FBpp0087566,Orc6,FBgn0023180
FBpp0087152,RnrS,FBgn0011704
FBpp0074246,CG8142,FBgn0030871
FBpp0071822,CycB,FBgn0000405
FBpp0077363,Ts,FBgn0024920
FBpp0290461,Mes4,FBgn0034726
FBpp0076330,Pri50,FBgn0011762
FBpp0076819,mad2,FBgn0035640
FBpp0070911,l(1)G0148,FBgn0028360
FBpp0082329,Orc2,FBgn0015270
FBpp0086519,dup,FBgn0000996
FBpp0297417,Orc4,FBgn0023181
