FBpp0070006 CG9577
FBpp0073988 Mfe2
FBpp0070007 CG9578
FBpp0080045 Tap42
FBpp0079148 mts
FBpp0083880 CG31142
FBpp0304176 CG10289
FBpp0070037 alpha-Cat
FBpp0074229 par-6
FBpp0110418 cta
FBpp0085320 Src42A
FBpp0070044 CG33217
FBpp0305840 Art4
FBpp0071102 CG1575
FBpp0075969 CG32075
FBpp0070045 CG32350
FBpp0084210 Vps33B
FBpp0077473 Rab5
FBpp0084899 Vps16B
FBpp0087203 Syx6
FBpp0081548 Vps45
FBpp0073036 Ccz1
FBpp0083891 Rab7
FBpp0074496 car
FBpp0077079 Mon1
FBpp0302752 Rop
FBpp0080747 Rab9
FBpp0073149 Syx17
FBpp0072503 Vti1
FBpp0070051 CG32857
FBpp0081412 CG9836
FBpp0070057 CG14476
FBpp0083050 CG7685
FBpp0080551 CG6453
FBpp0070063 cin
FBpp0076998 mal
FBpp0084157 Mocs2
FBpp0074426 CG7280
FBpp0075935 Mocs1
FBpp0070068 CG12470
FBpp0086253 CG5089
FBpp0077928 Mst77F
FBpp0083995 CG33340
FBpp0076874 CG4669
FBpp0071435 CG9806
FBpp0073301 CG15200
FBpp0088673 CG18449
FBpp0071021 CG15035
FBpp0289986 CG12699
FBpp0083866 CG10252
FBpp0073239 CG15208
FBpp0082638 CG4546
FBpp0070069 Or1a
FBpp0078441 Or83a
FBpp0070070 y
FBpp0083463 mod(mdg4)
FBpp0082404 su(Hw)
FBpp0070071 ac
FBpp0304504 da
FBpp0075596 sens
FBpp0081318 ato
FBpp0072477 emc
FBpp0070072 sc
FBpp0084355 E(spl)mbeta-HLH
FBpp0073317 sisA
FBpp0084334 E(spl)m7-HLH
FBpp0303693 Sxl
FBpp0070073 l(1)sc
FBpp0070074 ase
FBpp0072647 CG12011
FBpp0087879 dpn
FBpp0070083 arg
FBpp0087940 Odc2
FBpp0074729 Oat
FBpp0081556 SpdS
FBpp0076250 CG5144
FBpp0289058 CG9510
FBpp0076270 Argk
FBpp0081197 CG1315
FBpp0076903 slgA
FBpp0083744 CG17109
FBpp0070087 CG17896
FBpp0071533 Acox57D-d
FBpp0072560 CG9149
FBpp0071095 CG10932
FBpp0300161 CG31075
FBpp0074843 CG3902
FBpp0085821 CG15093
FBpp0070963 CG4586
FBpp0088517 CG5009
FBpp0082547 CG5044
FBpp0112101 CG11241
FBpp0079472 yip2
FBpp0291259 CG7433
FBpp0292905 CG4747
FBpp0071759 T3dh
FBpp0073781 CG5599
FBpp0078067 AcCoAS
FBpp0083990 CG6432
FBpp0083227 Arc42
FBpp0074784 CG9629
FBpp0072135 Thiolase
FBpp0080759 CG17544
FBpp0113095 CG9527
FBpp0070093 ebo
FBpp0073328 Ran
FBpp0070105 vnd
FBpp0089115 gro
FBpp0289487 fkh
FBpp0070110 CG13369
FBpp0072385 NitFhit
FBpp0296955 Rpi
FBpp0087038 CG8525
FBpp0075247 Pgm
FBpp0087711 Pmm45A
FBpp0074898 CG5103
FBpp0070114 l(1)1Bi
FBpp0077694 dbe
FBpp0087511 RpLP0-like
FBpp0070116 CG13367
FBpp0070864 CG3815
FBpp0306049 MRG15
FBpp0070134 tw
FBpp0086267 CG8311
FBpp0070141 Rbf
FBpp0086853 Dp
FBpp0075807 CycA
FBpp0086249 Cdk4
FBpp0082511 Caf1
FBpp0080013 Pk34A
FBpp0289620 CycD
FBpp0081029 E2f2
FBpp0085744 mip40
FBpp0070805 lin-52
FBpp0087553 dap
FBpp0297239 Pp2A-29B
FBpp0081665 tws
FBpp0070143 RpL22
FBpp0305858 RpL26
FBpp0084617 RpL4
FBpp0070766 RpL35
FBpp0084966 RpS28a
FBpp0305182 EF2
FBpp0072687 RpL23A
FBpp0084959 RpL32
FBpp0110412 RpL38
FBpp0080102 RpL24
FBpp0086701 RpS23
FBpp0303728 RpL21
FBpp0303680 Rack1
FBpp0085585 RpS18
FBpp0076207 RpS17
FBpp0303780 RpL27
FBpp0070940 RpL17
FBpp0078354 RpL13A
FBpp0079500 RpS2
FBpp0075618 RpS4
FBpp0087608 RpL31
FBpp0072801 RpL8
FBpp0072094 RpL39
FBpp0083376 RpS30
FBpp0071052 RpS14b
FBpp0070150 RpL36
FBpp0083802 RpS3
FBpp0083905 RpS19b
FBpp0084150 vig2
FBpp0291726 RpL37A
FBpp0081879 RpL24-like
FBpp0099610 RpL41
FBpp0304265 RpLP1
FBpp0077142 RpL27A
FBpp0083371 RpS20
FBpp0079484 RpL13
FBpp0076359 RpL14
FBpp0085166 RpL6
FBpp0072957 RpL28
FBpp0080641 RpS26
FBpp0084242 RpS27
FBpp0076152 RpS9
FBpp0085717 RpL11
FBpp0074500 RpS10b
FBpp0079752 RpL9
FBpp0089424 RpLP2
FBpp0077159 RpL40
FBpp0071846 RpS24
FBpp0088441 RpS7
FBpp0074180 RpS5a
FBpp0306232 RpLP0
FBpp0291653 RpL30
FBpp0078416 RpL35A
FBpp0300615 RpS3A
FBpp0306039 RpL10
FBpp0087115 RpS11
FBpp0079328 RpS13
FBpp0305165 Ef1beta
FBpp0070877 RpL7A
FBpp0077309 RpS21
FBpp0076602 RpL18
FBpp0081822 RpL3
FBpp0071087 RpS6
FBpp0073623 RpS15Aa
FBpp0304879 RpL5
FBpp0291581 CG17490
FBpp0081614 RpS29
FBpp0071766 RpS16
FBpp0082483 RpL10Aa
FBpp0070279 Sta
FBpp0071808 RpL23
FBpp0079880 RpL7-like
FBpp0072083 RpL12
FBpp0079536 RpL7
FBpp0075612 RpS12
FBpp0084345 RpL34a
FBpp0099686 RpS8
FBpp0086269 RpS15
FBpp0071518 RpL29
FBpp0300652 RpL15
FBpp0079168 RpL36A
FBpp0086103 RpL18A
FBpp0081845 RpS25
FBpp0072312 RpL19
FBpp0071958 RpL22-like
FBpp0071771 bonsai
FBpp0304503 mRpS7
FBpp0078694 mRpL24
FBpp0072144 eIF6
FBpp0085119 CG1542
FBpp0071888 RpL37b
FBpp0070409 Nmd3
FBpp0086498 CG11808
FBpp0081820 Tctp
FBpp0070154 CG13364
FBpp0074151 SmG
FBpp0290701 CG7048
FBpp0070155 CG13365
FBpp0071278 CG9034
FBpp0070160 MED22
FBpp0072457 MED30
FBpp0070295 MED18
FBpp0078496 MED31
FBpp0085609 MED8
FBpp0087251 ix
FBpp0076599 MED4
FBpp0079166 MED20
FBpp0078361 MED27
FBpp0305737 MED10
FBpp0082469 CycC
FBpp0081787 MED7
FBpp0112462 MED21
FBpp0082980 MED17
FBpp0074821 MED11
FBpp0084211 MED28
FBpp0083263 Surf6
FBpp0289888 MED9
FBpp0074926 MED19
FBpp0076098 Cdk8
FBpp0071684 MED16
FBpp0081639 MED6
FBpp0070162 TRAM
FBpp0078896 Sec61alpha
FBpp0077740 Spp
FBpp0079495 CG5885
FBpp0075209 SsRbeta
FBpp0070165 mus81
FBpp0290815 SMC5
FBpp0086223 Fen1
FBpp0086578 Ercc1
FBpp0087317 mms4
FBpp0077263 gkt
FBpp0080675 tos
FBpp0073678 Lig4
FBpp0070624 mei-9
FBpp0080441 grp
FBpp0073822 Top1
FBpp0078337 Snm1
FBpp0087867 Mlh1
FBpp0076879 Gen
FBpp0082392 spn-B
FBpp0290511 slx1
FBpp0081381 pch2
FBpp0070638 Xpac
FBpp0075458 RecQ5
FBpp0077357 okr
FBpp0084955 spn-A
FBpp0290742 Rad51C
FBpp0301208 spel1
FBpp0084486 spn-D
FBpp0085657 mei-W68
FBpp0292263 Pol32
FBpp0070891 Top3beta
FBpp0075441 Tdrd3
FBpp0080860 lok
FBpp0070168 CG3021
FBpp0084012 CG18528
FBpp0071745 CG4610
FBpp0070169 CG33082
FBpp0076478 CG8038
FBpp0075046 CG14057
FBpp0070748 l(1)G0045
FBpp0111428 CG34317
FBpp0077802 Rpp30
FBpp0099986 Rpp20
FBpp0085455 CG9422
FBpp0070175 CDC45L
FBpp0079648 RnrL
FBpp0084348 Sld5
FBpp0080391 fzy
FBpp0076371 Cdc6
FBpp0076789 DNApol-epsilon58
FBpp0074715 asf1
FBpp0077899 S(faf)240
FBpp0070729 Mcm3
FBpp0074888 mus304
FBpp0080120 Orc5
FBpp0111417 DmelCG34308
FBpp0081756 Mcm5
FBpp0070913 Mcm6
FBpp0076312 Mcm7
FBpp0071994 l(2)dtl
FBpp0087566 Orc6
FBpp0087152 RnrS
FBpp0074246 CG8142
FBpp0071822 CycB
FBpp0077363 Ts
FBpp0290461 Mes4
FBpp0076330 Pri50
FBpp0076819 mad2
FBpp0070911 l(1)G0148
FBpp0082329 Orc2
FBpp0086519 dup
FBpp0297417 Orc4
FBpp0305498 Psf3
FBpp0072615 Psf1
FBpp0088995 CG32318
FBpp0086732 Ctf4
FBpp0099655 Chrac-14
FBpp0085480 geminin
FBpp0082647 rec
FBpp0081317 Mcm2
FBpp0271702 CG10336
FBpp0088055 dpa
FBpp0081004 Mcm10
FBpp0079609 RfC3
FBpp0086881 lat
FBpp0113035 CG5923
FBpp0072041 DNA-ligI
FBpp0303867 Psf2
FBpp0079812 RfC38
FBpp0088033 Orc1
FBpp0079641 Cdk1
FBpp0080967 RPA2
FBpp0081356 RpA-70
FBpp0070181 CG3704
FBpp0111291 CG34183
FBpp0075595 CG10222
FBpp0070184 Lztr1
FBpp0304303 CG15107
FBpp0070191 CG11379
FBpp0304003 CG15336
FBpp0070196 CG11381
FBpp0297893 Muc4B
FBpp0072761 yellow-g2
FBpp0071149 Cp7Fc
FBpp0076300 Cp19
FBpp0289676 Cp38
FBpp0293660 CG4009
FBpp0271837 CG13114
FBpp0289343 Cp7Fa
FBpp0076590 CG14834
FBpp0080783 CG13083
FBpp0072780 yellow-g
FBpp0071150 Cp36
FBpp0080781 CG13084
FBpp0070203 Naa30A
FBpp0074480 Nat1
FBpp0083238 psidin
FBpp0072187 CG4065
FBpp0070204 Tsp2A
FBpp0074589 Ssk
FBpp0085511 Tsp42Ec
FBpp0073209 CG13704
FBpp0070205 CG11417
FBpp0083572 pit
FBpp0085379 l(2)09851
FBpp0074936 CG5589
FBpp0077674 Dbp21E2
FBpp0075302 CG7275
FBpp0070719 Sas10
FBpp0304812 CG11030
FBpp0071046 bys
FBpp0083415 ppan
FBpp0080510 CG12288
FBpp0076738 CG32409
FBpp0071194 CG1789
FBpp0083625 Nop56
FBpp0078997 nop5
FBpp0079946 CG6712
FBpp0086314 wcd
FBpp0080211 l(2)34Fd
FBpp0072239 CG4806
FBpp0087437 CG12909
FBpp0079305 CG13097
FBpp0078929 Aatf
FBpp0082867 Ns1
FBpp0071198 Rbm13
FBpp0071193 CG1785
FBpp0079306 CG13096
FBpp0075106 Dbp73D
FBpp0080997 CG9253
FBpp0081355 CG9630
FBpp0073459 Tango4
FBpp0304506 CG33303
FBpp0085566 CG11180
FBpp0087731 CG30349
FBpp0087709 Mys45A
FBpp0071142 CG2260
FBpp0080052 Nnp-1
FBpp0071365 CG2972
FBpp0071288 CG7246
FBpp0099583 Nop60B
FBpp0087637 Non1
FBpp0076917 Hlc
FBpp0070208 AMPKalpha
FBpp0289083 CG5189
FBpp0084399 CG6036
FBpp0293589 foxo
FBpp0306043 CG17698
FBpp0084739 Atg14
FBpp0080015 Sir2
FBpp0087883 RagC-D
FBpp0075117 Mo25
FBpp0087705 alc
FBpp0083753 p53
FBpp0071303 Lst8
FBpp0110403 Stlk
FBpp0082276 lkb1
FBpp0070672 ctp
FBpp0081491 RagA-B
FBpp0078342 Rheb
FBpp0083975 Atg6
FBpp0070221 CG14786
FBpp0081367 CG8021
FBpp0070225 png
FBpp0075447 gnu
FBpp0085618 plu
FBpp0070234 Atf3
FBpp0087498 Jra
FBpp0085176 Med
FBpp0070235 CG11403
FBpp0085589 CG11788
FBpp0070239 CG3638
FBpp0305206 CG13377
FBpp0070242 eIF4E-7
FBpp0081324 eIF4AIII
FBpp0087063 Nup54
FBpp0083195 Nup58
FBpp0072861 CG11486
FBpp0077213 Thor
FBpp0085915 pAbp
FBpp0086294 Nup62
FBpp0082998 Nup43
FBpp0085703 FK506-bp2
FBpp0112403 eIF-4B
FBpp0086621 PRAS40
FBpp0300445 Fmr1
FBpp0079565 me31B
FBpp0083801 Sec13
FBpp0079710 Nup107
FBpp0078754 Hel25E
FBpp0074075 eIF-2alpha
FBpp0305462 S6k
FBpp0297292 CG5110
FBpp0071600 Rae1
FBpp0086098 eIF3-S9
FBpp0082137 mbo
FBpp0072908 CG17737
FBpp0087936 Nup44A
FBpp0302771 4E-T
FBpp0304887 tral
FBpp0070250 inc
FBpp0291369 Cul3
FBpp0070259 dor
FBpp0078007 Syx7
FBpp0075620 Syx13
FBpp0088416 Vamp7
FBpp0071049 Ykt6
FBpp0070262 b6
FBpp0070269 a6
FBpp0070268 CG3795
FBpp0088636 CG14798
FBpp0074376 CG12609
FBpp0305326 hfw
FBpp0077448 CG9870
FBpp0082513 mRpS10
FBpp0302537 eIF-2gamma
