fbpp,uniprot_id
FBpp0070006,Q9W5W8
FBpp0073988,Q9VXJ0;X2JFD6
FBpp0070007,Q9W5W6
FBpp0080045,Q9VJZ5
FBpp0079148,P23696;X2JDI1
FBpp0083880,Q8SYR5
FBpp0304176,M9PEH8
FBpp0070037,P35220
FBpp0074229,O97111
FBpp0110418,P25157;M9PDM5
FBpp0085320,Q9V9J3;B5X0J6
FBpp0070044,Q8MS38
FBpp0305840,Q9VH48;F0JAI1
FBpp0071102,Q9W3K4
FBpp0075969,Q8SZY9
FBpp0070045,Q8SX81
FBpp0084210,Q9VBR1
FBpp0077473,Q9V3I2
FBpp0084899,Q9VAG4
FBpp0087203,Q7JY00
FBpp0081548,Q9VHB5
FBpp0073036,Q9VZL5
FBpp0083891,O76742
FBpp0074496,Q9Y1I2;A4V4S5
FBpp0077079,Q9VR38
FBpp0302752,Q07327;M9PEL1
FBpp0080747,Q9VIW6
FBpp0073149,Q9VZC9
FBpp0072503,Q9W0N6
FBpp0070051,Q8SY96
FBpp0081412,Q9VHK6
FBpp0070057,Q7KMM4
FBpp0083050,Q9VE71
FBpp0080551,Q9VJD1
FBpp0070063,P39205
FBpp0076998,Q9VRA2;X2JFY7
FBpp0084157,Q9VBX2
FBpp0074426,Q9VWP4
FBpp0075935,Q8IQF1
FBpp0070068,Q9V3G9
FBpp0086253,Q8T0U2
FBpp0077928,P16909;G4LU53
FBpp0083995,Q8IMW8
FBpp0076874,Q9VRK6
FBpp0071435,Q9W2S8
FBpp0073301,Q9VZ17
FBpp0088673,Q4V3X2
FBpp0071021,Q9W3R1
FBpp0289986,Q8SXP1
FBpp0083866,Q9VCJ6
FBpp0073239,Q9VZ54
FBpp0082638,Q9VF23
FBpp0070069,Q9W5G6
FBpp0078441,Q9VNB3
FBpp0070070,P09957;A0A4V1G8Q9
FBpp0082404,P08970;A0A0B4K6W1
FBpp0070071,P10083
FBpp0304504,P11420;C8VV95
FBpp0075596,Q9N658
FBpp0081318,P48987;C0MKM8
FBpp0072477,P18491
FBpp0070072,P10084
FBpp0084355,Q01069
FBpp0073317,Q9VZ09
FBpp0084334,P13097
FBpp0070073,P09774
FBpp0070074,P09775
FBpp0072647,Q8SZ38
FBpp0087879,Q26263
FBpp0070083,O76895
FBpp0087940,P40808
FBpp0074729,Q9VW26
FBpp0081556,Q9VHA1
FBpp0076250,Q9VST4
FBpp0289058,Q9VLG9
FBpp0081197,O97069
FBpp0076903,Q04499
FBpp0083744,Q9VCR0
FBpp0070087,Q7KW39
FBpp0071533,Q9W2G8
FBpp0072560,Q9W0H6
FBpp0071095,Q9W3N9
FBpp0300161,A0A0B4K6I6
FBpp0074843,Q9VVU1
FBpp0085821,Q9V8M5;A0A0B4JCU8
FBpp0070963,Q9W3U0
FBpp0088517,Q7KML2;B5RIN5
FBpp0082547,Q86BP1
FBpp0112101,A8E6R2
FBpp0079472,Q9VL70
FBpp0291259,Q9VW68
FBpp0292905,M9MRG2
FBpp0071759,Q9W265
FBpp0073781,Q9VXY3
FBpp0078067,Q59E09
FBpp0083990,Q9VC92
FBpp0083227,Q9VDT1
FBpp0074784,Q8SXQ1
FBpp0072135,Q9W1H8
FBpp0080759,Q9VIX4
FBpp0113095,B7Z028
FBpp0070093,Q9W5G1
FBpp0073328,Q9VZ23;A4V4A5
FBpp0070105,P22808
FBpp0089115,P16371
FBpp0289487,P14734;E1JJ07
FBpp0070110,O77425
FBpp0072385,O76464
FBpp0296955,Q8MLS2
FBpp0087038,Q7K209
FBpp0075247,Q9VUY9
FBpp0087711,A1Z7P1
FBpp0074898,Q9VVP4
FBpp0070114,Q9W5E4
FBpp0077694,Q9VPU8
FBpp0087511,Q7K1Q7
FBpp0070116,Q9W5E2
FBpp0070864,Q9W410
FBpp0306049,A0A0B4KHJ7
FBpp0070134,Q9W5D4;M9PG53
FBpp0086267,A1ZAI1
FBpp0070141,Q24472
FBpp0086853,Q24318
FBpp0075807,P14785
FBpp0086249,Q7K306
FBpp0082511,Q24572;C0MJE4
FBpp0080013,Q9VK37
FBpp0289620,Q7KUZ5
FBpp0081029,O77051;X2J9B3
FBpp0085744,Q7K159
FBpp0070805,Q9W482
FBpp0087553,Q7JNL9
FBpp0297239,M9NDI6
FBpp0081665,A0A0B4LGZ3;P36872
FBpp0070143,P50887
